Hindi,English
कल मेरा जन्मदिन है।,tomorrow is my birthday
कल मेरा जन्मदिन है और मैं सत्रह साल का हो जाऊँगा।,tomorrow is my birthday and i will be seventeen
कल मेरा जन्मदिन है और मैं सत्रह साल की हो जाऊँगी।,tomorrow is my birthday and i will be seventeen
आज मेरी बहन का जन्मदिन है।,today is my sister's birthday
आज मेरी दीदी का जन्मदिन है।,today is my sister's birthday
आज मेरा सोलहवा जन्मदिन है।,today is my sixteenth birthday
मेरा जन्मदिन आज से एक महीने में है।,my birthday is one month from today
उनकी बातचीत लगभग एक घंटे तक चलती रही।,their conversation was carried on for about an hour
आप थोड़ा धीरे बोल सकते हैं क्या,would you speak more slowly please
आप थोड़ा धीरे बोल सकते हैं क्या,could you please speak a little bit more slowly
लूसी ज़रूर आएगी।,lucy is certain to come
तुम क्यों नहीं आए,why didn't you come
जो करना है करो पर इस बात की चर्चा तो हो गी ही।,do whatever you want there will be gossiping anyhow
मेरी एक अटैची ग़ायब है।,one of my bags is missing
मुझे अपनी एक अटैची मिल नहीं रही है।,one of my bags is missing
चोर अंत में तो पकड़ा ही जाएगा।,the thief is certain to be caught eventually
क़ानूनों का पालन करना बहुत ज़रूरी है।,it is very important to keep the law
अपना कमरा जितना साफ़-सुथरा रख सकते हो रखो।,keep your room as neat as you can
उन्होंने मांग करी है कि इस किताब की सारी कॉपियाँ नष्ट कर दीं जाएं।,they have demanded that all copies of the book be destroyed
कल रात मैं बारिश में फंस गया और तर तर भीग गया।,last night i was caught in a shower and got wet to the skin
हम यह फ़ैसला नहीं ले पा रहें हैं कि कॉलेज जाएं या न जाएं।,we cannot decide whether to go to college or not
उसने अपने आप से कहा मैं बहुत खुश हूँ,she said to herself i am very happy
अपने हाथ इस तौलिए से पोंछो।,wipe your hands with this towel
बहुत रोमैंटिक है,it's very romantic
मैं अंग्रेज़ी पढ़ सकता हूँ।,i am able to read english
मैं अंग्रेज़ी पढ़ सकती हूँ।,i am able to read english
तुम्हें फ़िल्म देखनी चहिए थी।,you should have seen the movie
लड़के तो लड़के ही रहेंगे।,boys will be boys
मैं वह द्रिश्य देख नहीं सका।,i could not bear to see the scene
मैं वह द्रिश्य देख नहीं सकी।,i could not bear to see the scene
उसकी सफ़लता सालों की मेहनत का फल है।,his success is the result of many years of perseverance
मेरे पापा के बाल सफ़ेद हो गए हैं।,my father's hair has grown white
बेहतर होगा कि इस बात को अनदेखा किया जाए।,it is better to ignore this point
जल्दबाज़ी में काम करोगे तो ग़लतियाँ तो होंगीं ही।,you make mistakes if you do things in a hurry
मेरे पास तुमसे मिलने के लिए समय नहीं है।,i have no time to see you
मेरा आज अंग्रेज़ी पढ़ने का मन नहीं है।,i don't feel like studying english today
उसने उसके अच्छेपन का दुर्व्यवहार किया।,he traded on her kindness
मैं १९६० में पैदा हुआ था।,i was born in 
हम सब धरती पर रहते हैं।,we all live on the earth
बारह बजने वाले हैं।,it is almost  o'clock
रेलगाड़ी में १५ डब्बे हैं।,the train is made up of fifteen cars
जब वह अगली बार आएगा मैं उसे इसके बारे में बाताऊँगा।,i will tell him about it when he comes next time
जब वह अगली बार आएगा मैं उसे इसके बारे में बाताऊँगी।,i will tell him about it when he comes next time
चिल्लाओ मत,don't shout
चिल्लाईए मत।,don't shout
मेरी दोनो बहनें शादीशुदा हैं।,both of my sisters are married
वह कहानी सुन कर पागल हो गया।,he went mad when he heard the story
वह दुकान चमड़े के उत्पाद बेचती थी।,the shop carried leather goods
कराटे निहत्थे रक्षा की कला है।,karate is an art of unarmed defense
कराटे बेहथियार रक्षा की कला है।,karate is an art of unarmed defense
वह किताब को खरीदना चाह्ता था।,he wanted to buy the book
इस नोट को सिक्कों में बदल दीजिए।,please change this bill into coins
उन्होंने ज़्यादा मेहनत से काम करने का इरादा किया।,they resolved to work harder
माफ़ किजिए पर मैं आपसे सहमत नहीं हूँ।,i beg to differ with you
मैं तुमसे सहमत नहीं हूँ।,i don't agree with you
मैं इस कोटे तक भला कैसे पहुंच सकता हूँ,how can i meet this quota
तुम रेलगाड़ी से जाओगे क्या,will you go by train
मैं उसे पहचानता हूँ पर मैंने उससे कभी बात नहीं करी है।,i know her by sight but i've never spoken to her
मैं उसे पहचानता हूँ पर मैं उससे कभी मिला नहीं हूँ।,i've never met her but i recognize her
मैं उसे पहचानता हूँ पर मैं उससे कभी मिला नहीं हूँ।,i've never met him but i recognize him
मुझे इस विषय पर कुछ नहीं कहना है।,i have nothing to say with regard to that problem
मुझे इस विषय पर कुछ नहीं कहना है।,i have nothing to say on this matter
मुझे इस समस्या के बारे में कुछ नहीं कहना है।,i have nothing to say with regard to that problem
मैं एक रात और रह सकता हूँ क्या,can i extend my stay one more night
उसने हमेशा की तरह लापरवाही में ग़लती की।,he made a careless mistake as is often the case with him
डब्बा लकड़ी का बना है।,the box is made of wood
अभी कितने बजे हैं,what time is it
अभी क्या समय हो रहा है,what time is it
जो सही है वो करो।,do that which is right
तुम्हें नहीं लगता कि एसी कुछ ज़्यादा ही तेज़ चल रहा है,don't you think the air conditioner is turned up too high in here
दरवाज़े पर ताला लगा हुआ था और हम अंदर नहीं जा सके।,the door was locked and we couldn't get in
वह वह खिड़की है जिसको टॉम ने कल थोड़ा था।,it was the window that tom broke yesterday
यह उपन्यास बहुत रोमांचक है।,the novel is very exciting
उन्होंने अपने ऊपर मुसीबत बुलाई।,they brought trouble on themselves
डॉक्टर ने उसे सिगरेट न पीने की सलह दी।,the doctor advised him not to smoke
डॉक्टर ने उन्हें सिगरेट न पीने की सलह दी।,the doctor advised him not to smoke
आप कोई दिलचस्प किताब पढ़ रहें हैं क्या,are you reading an interesting book
तुम कोई दिलचस्प किताब पढ़ रहे हो क्या,are you reading an interesting book
तुम कोई दिलचस्प किताब पढ़ रही हो क्या,are you reading an interesting book
यह सिद्धांत मेरे समझने से बाहर है।,this theory is too difficult for me to comprehend
जर्मन तो छोड़ो वह तो अंग्रेज़ी भी नहीं बोल सकता।,he cannot speak english much less german
उस दिन हवा बहुत तेज़ थी।,there was a strong wind that day
उस लड़की ने रोने के अलावा और कुछ नहीं किया।,the girl did nothing but cry
तुम ब्रिज पर खड़े हुए आदमी को जानते हो क्या,do you know the man standing on the bridge
उन दो मंदिरों में तोदाइजी बड़ा वाला है।,toudaiji is the bigger of the two temples
तुम हमेशा के लिए तो जापान नहीं जा रहे हो ना,you aren't leaving japan for good are you
कनाडा में कौनसी भाषाएं बोली जाती हैं,what languages do they speak in canada
ख़रीदो या न ख़रीदो तुम्हारे ऊपर है।,it is up to you whether to buy it or not
मैं पूरी सुबह से चिट्ठियाँ लिख रहा हूँ।,i have been writing letters all morning
मैं पूरी सुबह से चिट्ठियाँ लिख रही हूँ।,i have been writing letters all morning
जो मरने वाले हैं वे तुम्हें सलाम करते हैं।,those who are about to die salute you
जो मरने वाले हैं वे आपको सलाम करते हैं।,those who are about to die salute you
यहां डाक टिकटें नहीं बेची जातीं हैं।,stamps are not sold in this store
उसने दिनों तक खाना नहीं खाया।,he had to go without food for days
उसने गाते गाते काम किया।,he sang while working
मैं परेशान था क्योंकि मुझे फ़्रांसीसी बोलनी नहीं आती थी।,i was ill at ease because i didn't speak french
मैं टैक्सी का इंतेज़ार कर रहा था।,i was waiting for a taxi
मैं टैक्सी की प्रतीक्षा कर रहा था।,i was waiting for a taxi
उसने उससे पैसे जुटाने के लिए कहा।,she asked him to raise the funds
मैं कमरे की सफ़ाई करूँ क्या,shall i clean the room
वह पैसेवाला तो है पर भरोसेमंद नहीं है।,indeed he is rich but he is not reliable
मुश्किल यह है कि उनके पास समय नहीं है।,the trouble is that they have no time
क़ानून ने लोगों को फ़ुटबॉल खेलने से बहुत देर तक रोका।,the law kept people from playing football for a while
लंदन के लोगों को इस ब्रिज पर गर्व है।,the people of london are very proud of this bridge
उसने मुझसे उसकी असभ्यता के बारे में शिक़ायत करी।,she complained to me of his rudeness
उसने मेरे अज्ञान पर आशंका जताई।,he seemed surprised by my ignorance
मानो कोई सपना सच आ गया हो।,it's like a dream come true
उसने मुझ पर बेईमानी का दोष लगाया।,he charged me with dishonesty
यहां बैठिये।,here please have a seat
अपना वादा मत तोड़ो।,don't go back on your promise
उसने जैसे ही अपनी मम्मी को देखा वह चिल्ला उठी।,she cried out the moment she saw her mother
मैं इस योजना से सहमत हूँ।,i agree to this plan
वह अपने बाल कटवाना चाह्ती थी पर उसकी मम्मी राज़ी नहीं थी।,she wanted to have her hair cut but her mother wouldn't let her
वह अरबी पढ़ सकता है।,he reads arabic
उसने यह किताब कल पढ़ी थी।,he read this book yesterday
मैं तुमसे बात करना चाह्ता हूँ।,i'd like to have a word with you
मुझे बताओ क्या हुआ।,tell me what happened
वह चिंतित है क्योंकि पिछले कुछ महीनों से उसके बेटे की कोई भी ख़बर नहीं आई है।,she's worried as it's been many months since she heard from her son
उसने किसी भी मौके को हाथ से जाने नहीं दिया।,he took advantage of every opportunity he had
हम जल्दबाज़ी में ट्रेन स्टेशन गए।,we hurried to the train station
मैं पैरिस जाकर आर्ट पढ़ना चाहता हूँ।,i wish to go to paris to study art
मैं पैरिस जाकर आर्ट पढ़ना चाहती हूँ।,i wish to go to paris to study art
जंग ने देश को नष्ट कर डाला।,the war wasted the country
उसका चरित्र उसकी बहन से मिलता-जुलता है।,she resembles her sister in character
वे अंग्रेज़ी सीखने को तैयार हैं।,they are willing to learn english
फ़िल्म देखने चलें क्या,how about going to the movies
हो सके तो मैं उससे मिलना नहीं चाहूँगा।,i'd rather not meet him
हो सके तो मैं उससे मिलना नहीं चाहूँगी।,i'd rather not meet him
वह चिट्ठी को डाक में डालना भूल गई।,she forgot to mail the letter
वह चिट्ठी को डाक करना भूल गई।,she forgot to mail the letter
मुझे नींद आ गई।,i got very sleepy
ऐसा अक्सर होता है।,such a thing occurs frequently
मैं अपनी मम्मी के लिए तोह्फ़ा ढूँढ रहा हूँ।,i am looking for a present for my mother
वह अपने परिवार के सुख के लिए बहुत मेहनत करता था।,he worked hard in order that his family might live in comfort
शेर मास खाते हैं।,lions feed on flesh
शब्दकोश डिक्शनरी के बिना अंग्रेज़ी की पढ़ाई करना बहुत मुश्किल होगा।,without a dictionary it would be hard to study english
बाद में मिलेंगे।,i'll see you later
फिर मिलेंगे।,i'll see you later
तुम आज सुबह देर से क्यों आए,why were you late this morning
उसने पैसेवाले से शादी की।,she married a rich man
मैं अपनी माँ का इंतेज़ार कर रहा हूँ।,i'm waiting for my mother
उन दिनों में मैं रात में जल्दी से सो जाया करता था।,in those days i went to bed earlier
वह सड़क नदी के साथ साथ चलती है।,the road is parallel to the river
मुझे नीला वाला पसंद है कितने का है,i like the blue one how much does it cost
मुझे नीली वाली पसंद है कितने की है,i like the blue one how much does it cost
आठ से दस बजे के बीच हुआ।,it happened between eight and ten
आठ से दस बजे के बीच हुई।,it happened between eight and ten
बच्चे पर ध्यान रखना थोड़ी देर के लिए।,keep an eye on the baby for a while
पापा बाथरूम में दाढ़ी बना रहे हैं।,dad is shaving in the bathroom
वह औरत पैसेवाली लगती है।,that lady appears rich
वह औरत दिखने से अमीर लगती है।,that lady appears rich
मेरे पैसे चोरी हो गए।,my money was stolen
बादल छंट रहे हैं।,the clouds are breaking
हमारे पास कितनी कटोरियाँ हैं,how many bowls do we have
तुम्हें पता नहीं कि वे दो साल पहले ही गुज़र चुके थे,didn't you know that he passed away about two years ago
आज मौसम बहुत गरम है।,it's hot today
मुझे अपना नाम और फ़ोन नम्बर बताईये।,please tell me your name and telephone number
वह भारत के किसी गाँव में रह रही है।,she is living in some village in india
आज मौसम काफ़ी ठंडा है।,it's rather cold today
हम उस पर कितना भरोसा कर सकते हैं,to what degree can we trust him
एसी बहुत आवाज़ करता है।,the air conditioner makes too much noise
मैं दोनो को जानता था।,i know both of them
कोई है क्या,is anybody here
हमे पड़ोसियों के साथ प्रेमपूर्वक रहना चहिए।,we should love our neighbors
उनको दूर से बंदूक की आवाज़ सुनाई दी।,they heard a gun go off in the distance
जब मैं सड़क पर उसके सामने से गया उसने जानबूझकर मुझे पहचाना नहीं।,he deliberately ignored me when i passed him in the street
वह मेरी ग़लती थी।,that was my mistake
तुम्हारा सपना एक दिन सच हो जाएगा।,someday your dream will come true
जब वह नहीं कर सकते जो करना चाह्ते हो तो वह करो जो कर सकते हो।,when you can't do what you want you do what you can
टीवी सेट के लिए और जगह नहीं है।,there is no more room for a tv set
हम सब तुम्हारे स्वास्थ्य के लिए बहुत चिंतित हैं।,we are all anxious about your health
यह तुम्हारे लिए है।,this is for you
विदेषी भाषा सीखना बहुत मज़ेदार होता है।,learning a foreign language is fun
उसके हिसाब से वह नहीं आ रहा।,he is not coming according to her
उसके हिसाब से वह नहीं आ रही।,according to him she is not coming
थोड़ी ऊँची आवाज़ में बोलिए।,please speak in a louder voice
हम जंग के ख़िलाफ़ हैं।,we are against war
हम युद्ध का विरोध करते हैं।,we are against war
कौन है मैं हूँ,who is it it's me
मैं खुशकिसमत था कि सफ़ल हो गया।,i had the good fortune to succeed
तुम्हें कॉनसर्ट की टिकटें कैसे मिलीं,how did you get tickets for the concert
वह इस क्लब का सदस्य पाँच साल पहले बना था।,he became a member of this club five years ago
ओबोन के समय में रेल स्टेशनों पर भागा-दौड़ी मची रहती है।,during obon there is much confusion at train stations
उसे सब पसंद करते हैं।,everyone likes her
उसे सब पसंद करते हैं।,everybody likes him
उसे सब पसंद करते हैं।,everyone likes him
उसे सब पसंद करते हैं।,everybody likes her
मेज़ पर किताब है।,there is a book on the desk
यह वही किताब है जिसे मैं पढ़ना चाह्ता था।,this is the very book that i wanted to read
तुम परियों में विश्वास करते हो क्या,do you believe in fairies
तुम परियों में विश्वास करती हो क्या,do you believe in fairies
स्कूल अप्रैल में शुरू होता है।,school begins in april
उसने बंद दरवाज़े पर खटखटाया।,he knocked at the closed door
जॉन मुझसे दो साल छोटा है।,john is my junior by two years
उसने वसीयत में अपनी पत्नी को सारी जायदाद छोड़ दी।,he left all his property to his wife in his will
मेरे पिता नें अपनी वसीयत में मुझे बहुत सारे पैसे छोड़े थे।,my father left me a lot of money in his will
डॉक्टर ने मेरी नब्ज़ ली।,the doctor felt my pulse
मैं मैनेजर से मिलना चाह्ता हूँ।,i want to see the manager
मैं मैनेजर से मिलना चाह्ती हूँ।,i want to see the manager
आप कहाँ रहते हैं,where do you live
तुम कहाँ रहते हो,where do you live
तू कहाँ रहता है,where do you live
तुम कहाँ रहती हो,where do you live
तू कहाँ रहती है,where do you live
रेलगाड़ी से चलते हैं।,let's take a train
तुमने असली हीरा कभी देखा ही नहीं है।,you've never seen a genuine diamond
वह मशीन बहुत सारी बिजली बनाती है।,the machine generates a lot of electricity
हम तुम्हारे साथ सैर करने चलें क्या,may we accompany you on your walk
तुम खुलकर बात कर सके क्या,were you able to open up and talk
मुझे रात को खाना खाने के बाद अपने भाई को उसके होमवर्क के साथ मदद करने की आदत है।,i make it a practice to help my brother with his homework after supper
उसकी माँ खाना बनाने में लगी हुई थी।,her mother was busy cooking the dinner
उसके पास थोड़े-बहुत पैसे हैं।,he has a little money
मेज़ के नीचे एक बिल्ली है।,there is a cat under the desk
मेरे ख़याल से तुम्हें सिगरेट पीना छोड़ देना चहिए।,i advise you to stop smoking
मैं तुम्हें सिगरेट पीना छोड़ देने की सलाह देना चाह्ता हूँ।,i advise you to stop smoking
तुम जो भी कहो मैं तो उससे शादी कर के ही रहूँगा।,whatever you say i'll marry her
तुम जो भी कहो मैं तो उससे ही शादी करूँगा।,whatever you say she is the one i'm going to marry
उसने टूटे हुए टुकड़ों को वापस जोड़ा।,he stuck the broken pieces together
वह नीचे झुकी।,she bent down
तुम मुझे पाँच सौ येन उधार दे सकते हो क्या,can you lend me  yen
मैं थकान से मरा जा रहा था।,i was tired to death
वह वहाँ जाने से डरता था।,he was afraid to go there
न मैंने मदद माँगी है न मैं मदद चाह्ता हूँ।,i have not asked for help nor do i desire it
उसको अपने पुराने कपड़ो पर शर्म आती है।,she is ashamed of her old clothes
ऐलन कवि है।,allen is a poet
उसने मुझसे पूछा कि मैं उसका पता जानता था या नहीं।,she asked me if i knew her address
हमे किसी भी चीज़ की कमी नहीं है।,we lack nothing
बच्चा पालनी में सो गया।,the baby fell asleep in the cradle
वह उसी पर भरोसा कर सकती है।,she can only trust him
उसका बयान यह है।,his statement runs as follows
मेरे पास आज बहुत काम है।,i have a lot of work to get through today
दुनिया चाय के बिना क्या करेगी,what would the world do without tea
हमारी चिंता मत करो।,don't worry about us
तुम टोक्यो में रहते हो क्या,do you live in tokyo
दो लड़के कमरे से भागे निकल आए।,two boys came running out of the room
मेरी उससे मुलाकात नहीं हुई है।,i haven't met him
तुम चलने के लिए तैयार कब होगे,when will you get ready to leave
तुम कुछ बोलते क्यों नहीं,how come you say nothing
मेरे दिमाग़ में एक अच्छी तरक़ीब सूझी है।,a good idea entered my mind
उस मोटी औरत ने एक बंदर पकड़ा हुआ था।,the fat woman was holding a monkey
म्युज़ियम में ज़िन्दा जानवर नहीं हैं।,there are no live animals in the museum
यह तसवीर जो उन्होंने पेंट करी है बहुत क़ीमती है।,the picture painted by him is of great value
उस तरह का आदमी मुझसे झिलता नहीं है।,a man like that gets on my nerves
भूकम्प आने पर तुम सबसे पहले क्या करोगे,when an earthquake occurs what will you do first
मैं ग्यारह बजे की ट्रेन पकड़ रहा हूँ।,i'm catching the  train
मई अप्रैल के बाद आता है।,may comes after april
यहाँ बहुत गरम है।,it's very hot here
क्या मैं दरवाज़ा खोल सकता हूँ,would you mind my opening the door
बॉब यहाँ आया था ना,bob came here didn't he
मेरी दो बहनें हैं और दोनो की शादी हो चुकी है।,i have two sisters both of whom are married
तुम्हारी याददाश्त अच्छी है।,you have a good memory
उसने मुझसे जल्द-से-जल्द उत्तर देने के लिए कहा।,he pressed me for a prompt reply
मुझे किसी के खटखटाने की आवाज़ सुनाई दी।,i heard someone knocking
उसने मेरे लिए टेक्सी बुलवाई।,he called me a taxi
उसका बेटा आलसी और निकम्मा है।,his son is lazy and good for nothing
नए ब्रिज को इन्द्रधनुष ब्रिज का नाम दिया गया।,the new bridge was named rainbow bridge
मैं बारिश की वजह से आ नहीं पाया।,the rain prevented me from coming
मुझे याद है कि मेरी माँ ने मुझे क-ख-ग-ध सिखाए थे।,i remember my mother teaching me the alphabet
वह बहुत सुंदर है।,she is very pretty
मैं एक छोटी अटैची को ढूँढ रहा हूँ।,i'm looking for a small suitcase
मैं आपके लिए कुरसी लेआऊँ,shall i get you a chair
बच्चों को दवाईयों से दूर रखना चहिए।,keep children away from medicine
तुमने मेरे सामान के साथ क्या किया,what did you do with my baggage
उसने बच्चे को आग से बचाया।,he rescued the child from the fire
A B से पाँचगुना लम्बा है।,a is  times as long as b
यह मेरी का कुत्ता है।,this is mary's dog
मेरे ख़याल से आम ज़िन्दगी जीना बहुत अच्छी बात है।,i think it is very good to lead a regular life
मेने उसे नियम समझाया।,i explained the rule to him
मुझे आज थोड़ा जल्दी घर जाना है।,i need to go home a little early today
वह तो ऐसे बात करती है जैसे उसे सब कुछ पता हो।,she talks as if she knew everything
कुछ नेत्रहीन व्यक्तियों में उनके आास-पास की चीज़ों की दूरी को महसूस करने की क्षतिपूरक क्षमता पैदा हो जाती है।,blind people sometimes develop a compensatory ability to sense the proximity of objects around them
इस दवाई का स्वाद बहुत कड़वा है।,the medicine tastes bitter
कृपया अंदर आईये।,do come in please
मेरी दिखने में तो अपनी माँ की तरह है पर चरित्र में अलग है।,mary resembles her mother in appearance but not in character
आप एक और कप चाय पीना चाहेंगे क्या,would you like another cup of tea
कल मैं पूरे दिन बिस्तर में था।,i was in bed all day long yesterday
जॉन ने मेरी से पूछा कि वह दोपहर में उसके साथ बाज़ार जाना चाह्ती है क्या।,john asked mary whether she would like to go shopping in the afternoon
आपको लाईन में लगकर इंतेज़ार करना पड़ेगा।,you have to wait in line
मुझे कल तक इसके बारे में कुछ भी नहीं पता था।,until yesterday i had known nothing about it
अगर कल बारिश हुई तो तुम घर में रहोगे क्या,if it rains tomorrow will you stay at home
मुझे इस पहाड़ के बारे में जानना है।,i want to know about this mountain
चादरें गीलीं लगतीं हैं।,the sheets feel damp
मैं तो संतुष्ट हूँ।,as for me i am satisfied
मैं कल उससे मिलने जाऊँगा।,i will call on him tomorrow
मैं यहाँ से अगले रविवार को साढ़े दस बजे निकल जाऊँगा।,i leave here at ten-thirty next sunday
मुझे यह वाला पसंद है।,i like this one
जापान में घर के अंदर जाने के समय जूते उतारे जाते हैं।,in japan people take off their shoes when they enter a house
हवाईजहाज़ ने ठीक छः बजे उड़ान ली।,the plane took off exactly at six
तुम्हारे ख़याल से वह कौन है,who do you think he is
अगर कुछ करना है तो ढंग से करो।,if you do anything at all do it well
मैं पुराने मंदिरों को देखने जाने का शौकीन हूँ।,my hobby is visiting old temples
मैंने पूरी रात काम किया।,i worked all night
मैंने रातभर काम किया।,i worked all night
मैंने सुना है कि कैरल और विल अब एक साथ नहीं हैं।,i heard that carol and will have split up
वह कभी-कभार मुझसे मिलने आता था।,he occasionally visited me
विमान दुर्घटना ने दो सौ लोगों की जानें लें लीं।,the plane crash took  lives
मुझे नहीं पता कि उसको पता है कि नहीं।,i don't know if he knows it
तुम कभी अफ़्रीका गए हुए हो क्या,have you ever been to africa
आप कभी अफ़्रीका गए हुए हैं क्या,have you ever been to africa
यह महाशय बहुत जाने-माने पियानिस्ट हैं।,the gentleman is a very famous pianist
उसने टोपी पहनी हुई है।,he has a hat on
हमने जल्दी करी क्योंकि हमें डर था कि हमें स्कूल पहुँचने में देरी होजाएगी।,we hurried for fear we should be late for school
तुम दो तीन दिनों में फिरसे ठीक हो जाओगे।,you'll be all right again in a couple of days
तुम दो तीन दिनों में फिरसे ठीक हो जाओगी।,you'll be all right again in a couple of days
मैंने कल रात एक प्रेम पत्र लिखा था।,i wrote a love letter last night
ये चिड़ियाँ हैं।,these are birds
एक कहावत है कुछ पाने के लिए कुछ खोना पड़ता है।,as the saying goes nothing ventured nothing gained
वह अफ़वाह झूठी निकली।,the rumor turned out false
आग जलाती है।,fire burns
जहाज़ पाल तानने के दो दिन बाद पोत-भंग हो गया।,the ship set sail only to be wrecked two days after
मैं हिल नहीं सकता।,i can't move
टॉम और मैं दोस्त हैं।,tom and i are friends
मैं अभी हवाईअड्डे में हूँ।,i'm at the airport now
मैं सात बजे सोकर उठता हूँ।,i wake up at  o'clock
धरती सूरज की परिक्रमा करती है।,the earth moves around the sun
पुलिस ने उस लड़की के क़ातिल को हरासत में ले लिया।,the police arrested the man who had murdered the girl
बचाओ,help
मैं मेट्रो लेकर स्कूल जाती हूँ।,i go to school by subway
मुझे जगे रहने के लिए शायद और कॉफ़ी पीनी पड़ेगी।,in order to stay awake i may have to drink more coffee
वह कभी-कभार मुझसे मिलने आता है।,he comes to meet me sometimes
किसी ने मेरी से उसके पैसे चुरा लिए।,someone robbed mary of her money
वह ज़रूरत से ज़्यादा पैसे कमाता है।,he earns more money than he can spend
मैं क्योटो गया हुआ हूँ।,i have been to kyoto
कोई भी नई भाषा सीखने में ग़लतियों से डरना नहीं चहिए।,you must not be afraid of making mistakes when learning a language
यहाँ कैफ़े है क्या,is there a cafe
मायुको साईकल चला सकती है।,mayuko can ride a bicycle
मैं उससे सच्चा प्यार करता था।,i truly loved her
बाग के सारे फूल पानी की कमी की वजह से मर गए।,all the flowers in the garden died for lack of water
सारे फूल मुरझा गए हैं।,the flowers have all withered
