English,Malayalam,length_eng_sentence,length_mal_sentence
the information is useful to a great many people,ഈ വിവരം വളരെയധികം ആളുകൾക്ക് ഉപകാരപ്രദമാണ്,9,5
in that case call the police,അങ്ങനെയാണെങ്കിൽ പോലീസിനെ വിളിക്കൂ,6,3
many people were killed in the accident,ആ അപകടത്തിൻ നിരവധി പേർ കൊല്ലപ്പെട്ടു,7,5
the forest fire occurred through carelessness,അശ്രദ്ധ മൂലമാണ് കാട്ടുതീ ഉണ്ടായത്,6,4
the bag was too heavy for me to carry by myself,സഞ്ചി എനിക്ക് വഹിക്കാന് കഴിയുന്നതിനെക്കാള് ഭാരമേറിയതായിരുന്നു,11,5
we will discuss that later,നമുക്ക് അത് പിന്നെ ചര്ച്ച ചെയ്യാം,5,5
the flower comes out in early spring,പുഷ്പം വസന്തത്തിന്റെ തുടക്കത്തില് ആണ് വിരിയുന്നത് ,7,6
the movie gained her great popularity,ആ സിനിമ അവള്ക്ക് വളരെയധികം പ്രശസ്തി നേടി കൊടുത്തു,6,7
the news spread like wildfire,ആ വാര്ത്ത കാട്ടുതീ പോലെ പടര്ന്നു,5,5
the door opened of itself,ആ വാതിൽ തനിയെ തുറുന്നു,5,4
we didn't have tv in those days,ഞങ്ങൾക്ക് അക്കാലത്ത് ടിവിയുണ്ടായിരുന്നില്ല,7,3
such an accident is likely to happen again,അതുപോലൊരു അപകടം വീണ്ടും ഉണ്ടാകാന് സാധ്യത ഉണ്ട് ,8,7
all men are equal before god,ദൈവത്തിന് മുമ്പിൽ എല്ലാ മനുഷ്യരും തുല്യരാണ്,6,5
it is not easy to be understood by everybody,ഇത് എല്ലാവരാലും എളുപ്പത്തില് മനസിലാക്കപ്പെടാന് കഴിയുന്നതല്ല,9,5
i'm coming at once,ഞാൻ ഇപ്പോൾ തന്നെ വരികയാണ്,4,4
john is very proud of his new house,ജോൺ അവന്റെ പുതിയ വീടിനെക്കുറിച്ച് വളരെയധികം അഭിമാനിക്കുന്നു,8,6
it is not easy to speak english well,ഇംഗ്ലീഷ് നന്നായി സംസാരിക്കാൻ അത്ര എളുപ്പമല്ല,8,5
judy dances very well,ജൂഡി നന്നായി നൃത്തം ചെയ്യും,4,4
jack is interested in painting,ജാക്കിന് ചിത്രരചനയിൽ താൽപ്പര്യമുണ്ട്,5,3
jack isn't here,ജാക്ക് ഇവിടെയില്ല,3,2
san francisco is only one-tenth as populous as new york,സാൻ ഫ്രാൻസിസ്കോയ്ക്ക് ന്യൂ യോർക്കിന്റെ ജനസംഖ്യയുടെ പത്തിലൊന്ന് മാത്രമേയുള്ളൂ,10,7
i will do anything but this,ഞാന് ഇതൊഴിച്ച് വേറെ എന്തു വേണമെങ്കിലും ചെയ്യാം,6,6
who broke this,ആരാണിത് പൊട്ടിച്ചത്,3,2
i've read both these books,ഞാൻ ഈ രണ്ട് പുസ്തകങ്ങളും വായിച്ചിട്ടുണ്ട്,5,5
these pens are his,ഈ പേനകൾ അവന്റേതാണ്,4,3
this isn't my umbrella it's somebody else's,ഇതെന്റെ കുടയല്ല വേറാരുടെയോ ആണ്,7,4
this is the house that jack built,ഇതാണ് ജാക്ക് പണിത വീട്,7,4
is this your pen,ഇതു നിന്റെ പേനയാണോ,4,3
this is the best camera in the store,ഈ കടയിലെ എറ്റവും മികച്ച ക്യാമറ ഇതാണ്,8,6
sorry it's all my fault,ക്ഷമിക്കണം എല്ലാം എന്റെ തെറ്റാണ്,5,4
i will give you this book,ഞാൻ നിനക്ക് ഈ പുസ്തകം തരാം,6,5
this book contains many pictures,ഈ പുസ്തകത്തിൽ കുറെ ചിത്രങ്ങളുണ്ട്,5,4
the meaning of this sentence is ambiguous,ഈ വാക്യത്തിന് ഒന്നില് കൂടുതല് അര്ത്ഥങ്ങളുണ്ട്,7,5
how does this disease spread,ഈ രോഗം എങ്ങനെയാണ് പടരുന്നത്,5,4
what is the real cause of this tragedy,ഈ ദുരന്തത്തിന്റെ യഥാർത്ഥ കാരണം എന്താണ്,8,5
this is good meat,ഇത് നല്ല മാംസം ആണ് ,4,5
i'm quite a stranger in this town,ഞാന് ഈ പട്ടണത്തില് തികച്ചും ഒരു അപരിചിതനാണ്,7,6
i demand an explanation for this mistake,ഞാൻ ഈ തെറ്റിനുള്ള വിശദീകരമണം ആവശ്യപ്പെടുന്നു,7,5
you can depend on this dictionary,നിനക്ക് ഈ നിഘണ്ടുവിൽ ആശ്രയിക്കാം,6,4
this mountain path ascends to the beautiful lake,ഈ പർവത പാത മനോഹരമായ തടാകത്തിനടുത്തേക്ക് കയറിച്ചെല്ലുന്നു,8,6
this country is safe from attack,ഈ രാജ്യം ആക്രമണത്തിൽ നിന്നും സുരക്ഷിതമാണ്,6,5
this song is familiar to us,ഈ പാട്ട് ഞങ്ങൾക്ക് സുപരിചിതമാണ്,6,4
this house has two bathrooms,ഈ വീട്ടിൽ രണ്ട് കുളിമുറികളുണ്ട്,5,4
i remember having seen this movie before,ഞാൻ ഈ സിനിമ മുമ്പ് കണ്ടതായി ഓർക്കുന്നു,7,6
this is how the accident happened,ഇങ്ങനെയാണ് ആ അപകടം നടന്നത്,6,4
this table is made of wood,ഈ മേശ തടി കൊണ്ട് ഉണ്ടാക്കിയതാണ്,6,5
this class consists of forty pupils,ഈ ക്ലാസ്സിൽ നാല്പത് കുട്ടികളാണുള്ളത്,6,4
how many cats are there in this house,ഈ വീട്ടിൽ എത്ര പൂച്ചകളുണ്ട്,8,4
you may sit here,നിനക്ക് ഇവിടെ ഇരിക്കാം,4,3
please wait here,ദയവായി ഇവിടെ കാത്തിരിക്കൂ,3,3
we cannot play baseball here,നമുക്കിവിടെ ബേസ് ബോള് കളിയ്ക്കാന് സാധിക്കില്ല,5,5
this is the place where the battle took place,ഈ സ്ഥലത്താണ് ആ യുദ്ധം നടന്നത്,9,5
coffee is brazil's main product,ബ്രസീലിന്റെ പ്രധാന ഉല്പന്നം കാപ്പിയാണ്,5,4
cookie is under the table,മധുരപലഹാരം മേശക്കു കീഴിൽ ഉണ്ട്,5,4
there is no time to lose,നഷ്ടപ്പെടുത്താൻ സമയമില്ല,6,2
i caught three fish yesterday,ഞാൻ ഇന്നലെ മൂന്ന് മത്സ്യങ്ങളെ പിടിച്ചു,5,5
my stomach is full,എന്റെ വയറ് നിറഞ്ഞു,4,3
i want money,എനിക്ക് കാശ് വേണം,3,3
vienna is a beautiful city,വിയന്ന മനോഹരമായ ഒരു നഗരമാണ്,5,4
whenever i call he is out,ഞാനെപ്പോൾ വിളിക്കുമ്പോഴും അവൻ പുറത്തായിരിക്കും,6,4
i'd like to visit england someday,എനിക്ക് എന്നെങ്കിലും ഒരിക്കൽ ഇംഗ്ലണ്ട് സന്ദർശിക്കണമെന്നുണ്ട്,6,5
someday i'd like to go to england,എന്നെങ്കിലും ഒരിക്കൽ എനിക്ക് ഇംഗ്ലണ്ടിൽ പോകണമെന്നുണ്ട്,7,5
for all his wealth and fame he is unhappy,സമ്പത്തും പ്രശസ്തിയും ഉണ്ടായിട്ടും അവൻ ദുഃഖിതനാണ്,9,5
american students are falling behind in math,അമേരിക്കന് വിദ്യാര്ത്ഥികള് കണക്കില് പിന്തള്ളപ്പെട്ടു കൊണ്ടിരിക്കുകയാണ്,7,5
that room is not very large,ആ മുറി അത്ര വലുതല്ല,6,4
who's that girl,ആരാണ് ആ പെൺകുട്ടി,3,3
that car is mine,ആ കാർ എന്റേതാണ്,4,3
do you know what time that accident happened,എത്ര മണിക്കാണ് അപകടം നടന്നതെന്ന് നിനക്കറിയാമോ,8,5
two families live in that house,ആ വീട്ടിൽ രണ്ട് കുടുംബങ്ങൾ താമസിക്കുന്നു,6,5
you are a teacher,നിങ്ങൾ ഒരു അധ്യാപകനാണ്,4,3
did you go to school yesterday,നീ ഇന്നലെ സ്കൂളിൽ പോയോ,6,4
have you ever seen a whale,നിങ്ങള് എപ്പോഴെങ്കിലും ഒരു തിമിംഗലത്തെ കണ്ടിട്ടുണ്ടോ,6,5
when are you going to quit smoking,നീ എപ്പോഴാണ് പുകവലി ഉപേക്ഷിക്കാൻ പോകുന്നത്,7,5
please write about your home,ദയവായി നിങ്ങളുടെ വീടിനെ പറ്റി എഴുതുക,5,5
i will show you some pictures,ഞാൻ നിനക്ക് കുറച്ച് ചിത്രങ്ങൾ കാണിച്ചു തരാം,6,6
i'd like you to translate this book into english,എനിക്ക് ഈ പുസ്തകം ഇംഗ്ലീഷിലേക്ക് തര്ജ്ജമ ചെയ്താല് കൊള്ളാമെന്നുണ്ട്,9,7
you and i are men,നീയും ഞാനും പുരുഷന്മാരാണ്,5,3
give me five days,എനിക്ക് അഞ്ച് ദിവസത്തെ സമയം തരൂ,4,5
it rained five successive days,അഞ്ച് ദിവസം തുടർച്ചയായി മഴ പെയ്തു,5,5
four multiplied by two is eight,നാലിനെ രണ്ട് കൊണ്ട് ഗുണിച്ചാൽ എട്ട് കിട്ടും,6,6
i lost the eyesight in my right eye two years ago,എന്റെ വലതുകണ്ണിലെ കാഴ്ച എനിക്ക് രണ്ടു വർഷം മുമ്പ് നഷ്ടമായി,11,8
nobody can do two things at once,ആര്ക്കും രണ്ടു കാര്യങ്ങള് ഒരേ സമയത്ത് ചെയ്യാന് സാധിക്കുകയില്ല,7,7
the moon is the earth's only satellite,ചന്ദ്രൻ ഭൂമിയുടെ ഏക ഉപഗ്രഹമാണ്,7,4
how do you know that light travels faster than sound,വെളിച്ചം ശബ്ദത്തേക്കാള് വേഗത്തില് യാത്ര ചെയ്യുമെന്ന് നിങ്ങള്ക്കെങ്ങനെ അറിയാം,10,7
who is your favorite player,നിന്റെ പ്രിയപ്പെട്ട കളിക്കാരനാരാണ്,5,3
won't you come to my house next sunday,അടുത്ത ഞായറാഴ്ച നീ എന്റെ വീട്ടിലേക്ക് വരില്ലേ,8,6
i don't feel like studying english today,എനിക്ക് ഇന്ന് ഇംഗ്ലീഷ് പഠിക്കാൻ തോന്നുന്നില്ല,7,5
it may rain tonight,ഇന്ന് രാത്രി മഴ പെയ്തേക്കും,4,4
that will be enough for now,ഇപ്പോഴത്തേക്ക് അതു മതിയാകും,6,3
sugar dissolves in water,പഞ്ചസാര വെള്ളത്തിൽ അലിയുന്നു,4,3
i will do my best,എന്നാല് ചെയ്യാന് കഴിയുന്നതൊക്കെ ഞാന് ചെയ്യും,5,5
we will pay this amount by june ,ഞങ്ങൾ ഈ തുക ജൂൺ മുപ്പതിന് മുമ്പായി അടയ്ക്കാം,8,7
my sister washes her shoes every sunday,എന്റെ സഹോദരി എല്ലാ ഞായറാഴ്ചയും അവളുടെ ചെരിപ്പുകള് കഴുകും,7,7
even a child can understand it,ഒരു കുട്ടിക്ക് പോലും അതു മനസ്സിലാക്കാൻ കഴിയും,6,6
when i arrived at the station the train had already left,ഞാൻ സ്റ്റേഷനിലെത്തിയപ്പോഴേക്കും തീവണ്ടി പുറപ്പെട്ടു കഴിഞ്ഞിരുന്നു,11,5
it began to rain five minutes after i left home,ഞാൻ വീട്ടിൽ നിന്നിറങ്ങിയ ശേഷം അഞ്ച് മിനിട്ടിനുള്ളിൽ മഴ പെയ്യാൻ തുടങ്ങി,10,9
he was absorbed in reading when i visited him,ഞാന് അവനെ സന്ദര്ശിച്ചപ്പോള് അവന് വായനയില് മുഴുകിയിരിക്കുകയായിരുന്നു,9,6
all i want is money,എനിക്കാവശ്യം പണം മാത്രമാണ്,5,3
we stayed there for three months,ഞങ്ങള് അവിടെ മൂന്ന് മാസം താമസിച്ചു,6,5
we will take part in a tennis match,ഞങ്ങൾ ഒരു ടെന്നിസ് മത്സരത്തിൽ പങ്കെടുക്കും,8,5
we were very tired,ഞങ്ങൾ വളരെയധികം ക്ഷീണിച്ചിരുന്നു,4,3
we lived in paris before,ഞങ്ങൾ മുമ്പ് പാരീസിലാണ് ജീവിച്ചിരുന്നത്,5,4
we learned how to read english,ഞങ്ങൾ ഇംഗ്ലീഷ് വായിക്കാൻ പഠിച്ചു,6,4
we live on the earth,നമ്മൾ ഭൂമിയിൽ ജീവിക്കുന്നു,5,3
we go to school to study,ഞങ്ങൾ സ്കൂളിലേക്ക് പഠിക്കാനാണ് പോകുന്നത്,6,4
half of my class like dogs,എന്റെ ക്ലാസിലെ പകുതി പേർക്ക് നായകളെ ഇഷ്ടമാണ്,6,6
where is my car,എന്റെ കാര് എവിടെയാണ്,4,3
my birthday is on march ,എന്റെ ജന്മദിനം മാർച്ച് -നാണ്,6,4
my brother has never climbed mt fuji,എന്റെ സഹോദരൻ ഒരിക്കലും ഫുജി കൊടുമുടി കീഴടക്കിയിട്ടില്ല,7,6
my father is a bank clerk,എന്റെ അച്ഛൻ ഒരു ബാങ്ക് ക്ലാർക്കാണ്,6,5
both my parents are at home now,എന്റെ മാതാപിതാക്കൾ രണ്ടുപേരും ഇപ്പോൾ വീട്ടിലുണ്ട്,7,5
i studied english when i was there,ഞാന് അവിടെയായിരുന്നപ്പോള് ഇംഗ്ലീഷ് പഠിച്ചു,7,4
i came to japan two years ago,ഞാൻ ജപ്പാനിൽ രണ്ട് വർഷം മുമ്പാണ് വന്നത്,7,6
i leave for paris tomorrow,ഞാൻ നാളെ പാരീസിലേക്ക് പുറപ്പെടും,5,4
he wants to go to america,അവന് അമേരിക്കയില് പോകാന് ആഗ്രഹമുണ്ട്,6,4
i've never been to my uncle's house,ഞാൻ ഇതുവരെ എന്റെ അമ്മാവന്റെ വീട്ടിൽ പോയിട്ടില്ല,7,6
i have two cameras,എനിക്ക് രണ്ട് ക്യാമറകളുണ്ട്,4,3
i can't understand the meaning of this word,എനിക്ക് ഈ വാക്കിന്റെ അർത്ഥം മനസ്സിലാകുന്നില്ല,8,5
i bought this book yesterday,ഞാൻ ഈ പുസ്തകം ഇന്നലെയാണ് വാങ്ങിച്ചത്,5,5
i'm a big fan of golf,ഞാൻ ഗോൾഫിന്റെ വലിയ ആരാധകനാണ്,6,4
the shop was closed when i went there,ഞാൻ അവിടെ ചെന്നപ്പോൾ കട അടച്ചിരുന്നു,8,5
i don't know how to spell the word,എനിക്ക് വാക്ക് എങ്ങനെ സ്പെല്ല് ചെയ്യണം എന്ന് അറിയില്ല,8,7
i spent three hours repairing the car,ഞാന് കാര് നന്നാക്കുന്നതിന് വേണ്ടി മൂന്ന് മണിക്കൂര് ചെലവഴിച്ചു,7,7
i was able to solve the problem,എനിക്ക് ആ പ്രശ്നം പരിഹരിക്കാന് സാധിച്ചു,7,5
i am going to play tennis,ഞാൻ ടെന്നിസ് കളിക്കാൻ പോവുകയാണ്,6,4
i like to watch tv,എനിക്ക് ടിവി കാണാൻ ഇഷ്ടമാണ്,5,4
i helped tony,ഞാന് ടോണിയെ സഹായിച്ചു,3,3
i played football,ഞാന് കാല്പ്പന്ത് കളിച്ചു,3,3
i caught the ball with one hand,ഞാൻ ഒരു കൈ കൊണ്ട് പന്ത് പിടിച്ചു,7,6
i was wearing my best clothes,ഞാൻ എന്റെ ഏറ്റവും മികച്ച വസ്ത്രങ്ങളാണ് ധരിച്ചിരുന്നത്,6,6
i recognized him at first glance,ആദ്യനോട്ടത്തിൽ തന്നെ ഞാൻ അവനെ തിരിച്ചറിഞ്ഞു,6,5
i like swimming very much,എനിക്ക് നീന്തൽ വളരെ ഇഷ്ടമാണ്,5,4
i like music very much,എനിക്ക് സംഗീതം വളരെ ഇഷ്ടമാണ്,5,4
i am not frightened of anything,എനിക്ക് ഒന്നിനെപ്പറ്റിയും ഭയമില്ല,6,3
i had a bad dream last night,ഞാൻ ഇന്നലെ രാത്രി ഒരു ദുസ്വപ്നം കണ്ടു,7,6
i don't have any children,എനിക്ക് കുട്ടികളില്ല,5,2
i sometimes cook dinner,ഞാൻ ചിലപ്പോൾ അത്താഴം പാകം ചെയ്യും,4,5
i asked my boss for a pay increase,ഞാൻ എന്റെ മേലധികാരിയോട് ശമ്പളം കൂട്ടി ചോദിച്ചു,8,6
i need to study math,എനിക്ക് കണക്ക് പഠിക്കേണ്ടതായിയുണ്ട്,5,3
i'm not a student,ഞാനൊരു വിദ്യാര്ത്ഥിയല്ല,4,2
i don't know who to ask for advice,ആരോട് ഉപദേശം ചോദിക്കണമെന്ന് എനിക്കറിയില്ല,8,4
i like short poems,എനിക്ക് ചെറിയ കവിതകൾ ഇഷ്ടമാണ്,4,4
i am in the habit of taking some exercise before breakfast,പ്രാതലിനു മുമ്പ് കുറച്ച് വ്യായാമം ചെയ്യുന്നത് എന്റെ ശീലമാണ്,11,7
i listened to the music of birds,ഞാൻ പക്ഷികളുടെ സംഗീതം കേട്ടുകൊണ്ടിരുന്നു,7,4
i bought a book about animals,ഞാൻ മൃഗങ്ങളെ പറ്റിയുള്ള ഒരു പുസ്തകം വാങ്ങിച്ചു,6,6
i am not angry with him because he made a mistake,അവൻ ഒരു തെറ്റു വരുത്തി എന്നു കരുതി എനിക്കവനോടു ദേഷ്യമില്ല,11,8
i challenged him to a game,ഞാൻ അവനെ ഒരു കളിക്കായി വെല്ലുവിളിച്ചു,6,5
i ordered them to leave the room,ഞാൻ അവരോട് മുറി വിട്ട് പോകാൻ കല്പിച്ചു,7,6
i can't make out what she said,അവള് പറഞ്ഞതെന്താണെന്ന് എനിക്ക് മനസ്സിലാക്കാന് സാധിക്കുന്നില്ല,7,5
i wrote down her phone number,ഞാൻ അവളുടെ ഫോൺ നമ്പർ എഴുതിയെടുത്തു,6,5
i get up at six every morning,ഞാൻ എന്നും രാവിലെ ആറ് മണിക്ക് എഴുന്നേൽക്കും,7,6
i got the ticket for free,എനിക്ക് ടികറ്റ് സൗജന്യമായി ലഭിച്ചു,6,4
i want to live,എനിക്ക് ജീവിക്കണം,4,2
i'll come back,ഞാൻ തിരിച്ചുവരും,3,2
i am not used to sitting up late at night,എനിക്ക് രാത്രി വൈകിയിരുന്നു ശീലമില്ല,10,4
i live with my parents,ഞാൻ എന്റെ മാതാപിതാക്കളുടെ കൂടെയാണ് ജീവിക്കുന്നത്,5,5
i also went,ഞാനും പോയി,3,2
we have lived in osaka six years,ഞങ്ങള് ആറ് വര്ഷം ഒസകയില് താമസിച്ചിരുന്നു,7,5
sight is one of the five senses,കാഴ്ച അഞ്ച് ഇന്ദ്രിയങ്ങളിൽ ഒന്നാണ്,7,4
